Iter,θ_p,θ_r,Start,Overhead %,CO₂ Save %,Score,Pauses,Budget,Stop
0,10,0,01-01,+200.0%,+83.51%,0.9176,1,✗ No,budget_exceeded
0,10,10,01-01,+200.0%,+83.51%,0.9176,1,✗ No,budget_exceeded
0,98,0,01-01,+200.0%,+83.51%,0.9176,1,✗ No,budget_exceeded
0,98,98,01-01,+200.0%,+83.51%,0.9176,1,✗ No,budget_exceeded
0,186,0,01-01,+200.0%,+83.51%,0.9176,1,✗ No,budget_exceeded
0,186,186,01-01,+200.0%,+65.49%,0.8274,547,✗ No,budget_exceeded
0,273,0,01-01,+200.0%,+83.37%,0.9168,1,✗ No,budget_exceeded
0,273,137,01-01,+200.0%,+69.14%,0.8457,169,✗ No,budget_exceeded
0,273,273,01-01,+187.3%,+26.84%,0.6342,988,✓ Yes,completed
0,361,0,01-01,+200.0%,+83.35%,0.9168,1,✗ No,budget_exceeded
0,361,90,01-01,+200.0%,+83.35%,0.9168,1,✗ No,budget_exceeded
0,361,181,01-01,+191.3%,+22.07%,0.6103,311,✓ Yes,completed
0,361,271,01-01,+117.0%,+25.58%,0.6279,450,✓ Yes,completed
0,361,361,01-01,+90.4%,+22.48%,0.6124,574,✓ Yes,completed
0,449,0,01-01,+200.0%,+82.96%,0.9148,1,✗ No,budget_exceeded
0,449,90,01-01,+200.0%,+82.96%,0.9148,1,✗ No,budget_exceeded
0,449,180,01-01,+118.3%,+19.74%,0.5987,134,✓ Yes,completed
0,449,269,01-01,+72.8%,+19.17%,0.5959,194,✓ Yes,completed
0,449,359,01-01,+50.0%,+20.10%,0.6005,220,✓ Yes,completed
0,449,449,01-01,+34.8%,+16.76%,0.5838,363,✓ Yes,completed
0,537,0,01-01,+200.0%,+82.91%,0.9146,1,✗ No,budget_exceeded
0,537,89,01-01,+200.0%,+82.91%,0.9146,1,✗ No,budget_exceeded
0,537,179,01-01,+62.3%,+13.64%,0.5682,37,✓ Yes,completed
0,537,268,01-01,+29.5%,+12.88%,0.5644,55,✓ Yes,completed
0,537,358,01-01,+22.7%,+11.64%,0.5582,62,✓ Yes,completed
0,537,447,01-01,+16.1%,+9.21%,0.5461,90,✓ Yes,completed
0,537,537,01-01,+9.5%,+5.04%,0.5252,167,✓ Yes,completed
0,624,0,01-01,+200.0%,+75.73%,0.8786,1,✗ No,budget_exceeded
0,624,89,01-01,+200.0%,+75.73%,0.8786,1,✗ No,budget_exceeded
0,624,178,01-01,+23.7%,+7.93%,0.5397,4,✓ Yes,completed
0,624,268,01-01,+10.3%,+3.52%,0.5176,6,✓ Yes,completed
0,624,357,01-01,+4.1%,+1.39%,0.5069,6,✓ Yes,completed
0,624,446,01-01,+1.1%,+0.48%,0.5024,10,✓ Yes,completed
0,624,535,01-01,+0.7%,+0.43%,0.5022,10,✓ Yes,completed
0,624,624,01-01,+0.3%,+0.15%,0.5007,20,✓ Yes,completed
0,712,0,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,712,89,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,712,178,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,712,267,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,712,356,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,712,445,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,712,534,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,712,623,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,712,712,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,0,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,89,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,178,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,267,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,356,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,444,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,533,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,622,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,711,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,800,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
1,96,96,01-01,+200.0%,+83.51%,0.9176,1,✗ No,budget_exceeded
1,96,96,01-01,+200.0%,+83.51%,0.9176,1,✗ No,budget_exceeded
1,135,96,01-01,+200.0%,+83.51%,0.9176,1,✗ No,budget_exceeded
1,135,135,01-01,+200.0%,+79.25%,0.8962,245,✗ No,budget_exceeded
1,175,96,01-01,+200.0%,+83.51%,0.9176,1,✗ No,budget_exceeded
1,175,175,01-01,+200.0%,+68.10%,0.8405,501,✗ No,budget_exceeded
1,214,96,01-01,+200.0%,+83.51%,0.9176,1,✗ No,budget_exceeded
1,214,155,01-01,+200.0%,+69.26%,0.8463,334,✗ No,budget_exceeded
1,214,214,01-01,+200.0%,+56.27%,0.7814,695,✗ No,budget_exceeded
1,254,96,01-01,+200.0%,+83.37%,0.9169,1,✗ No,budget_exceeded
1,254,148,01-01,+200.0%,+67.46%,0.8373,289,✗ No,budget_exceeded
1,254,201,01-01,+200.0%,+54.80%,0.7740,500,✗ No,budget_exceeded
1,254,254,01-01,+200.0%,+35.45%,0.6773,945,✗ No,budget_exceeded
1,293,96,01-01,+200.0%,+83.37%,0.9168,1,✗ No,budget_exceeded
1,293,135,01-01,+200.0%,+65.62%,0.8281,145,✗ No,budget_exceeded
1,293,175,01-01,+200.0%,+52.52%,0.7626,353,✗ No,budget_exceeded
1,293,214,01-01,+200.0%,+35.76%,0.6788,583,✗ No,budget_exceeded
1,293,254,01-01,+188.4%,+26.72%,0.6336,716,✓ Yes,completed
1,293,293,01-01,+163.7%,+25.64%,0.6282,845,✓ Yes,completed
1,333,96,01-01,+200.0%,+83.36%,0.9168,1,✗ No,budget_exceeded
1,333,135,01-01,+200.0%,+59.05%,0.7953,118,✗ No,budget_exceeded
1,333,175,01-01,+200.0%,+36.85%,0.6842,334,✗ No,budget_exceeded
1,333,214,01-01,+188.1%,+24.83%,0.6241,500,✓ Yes,completed
1,333,254,01-01,+166.7%,+24.66%,0.6233,551,✓ Yes,completed
1,333,293,01-01,+126.5%,+27.04%,0.6352,555,✓ Yes,completed
1,333,333,01-01,+108.5%,+25.72%,0.6286,684,✓ Yes,completed
1,372,96,01-01,+200.0%,+83.35%,0.9167,1,✗ No,budget_exceeded
1,372,135,01-01,+200.0%,+50.15%,0.7508,85,✗ No,budget_exceeded
1,372,175,01-01,+191.9%,+21.37%,0.6068,278,✓ Yes,completed
1,372,214,01-01,+162.0%,+22.37%,0.6119,356,✓ Yes,completed
1,372,254,01-01,+120.0%,+25.48%,0.6274,405,✓ Yes,completed
