Iter,θ_p,θ_r,Start,Overhead %,CO₂ Save %,Score,Pauses,Budget,Stop
0,10,0,07-01,+200.0%,+82.84%,0.9142,1,✗ No,budget_exceeded
0,10,10,07-01,+200.0%,+82.84%,0.9142,1,✗ No,budget_exceeded
0,98,0,07-01,+200.0%,+82.84%,0.9142,1,✗ No,budget_exceeded
0,98,98,07-01,+200.0%,+82.84%,0.9142,1,✗ No,budget_exceeded
0,186,0,07-01,+200.0%,+82.84%,0.9142,1,✗ No,budget_exceeded
0,186,186,07-01,+200.0%,+82.84%,0.9142,1,✗ No,budget_exceeded
0,273,0,07-01,+200.0%,+82.84%,0.9142,1,✗ No,budget_exceeded
0,273,137,07-01,+200.0%,+82.84%,0.9142,1,✗ No,budget_exceeded
0,273,273,07-01,+200.0%,+82.84%,0.9142,1,✗ No,budget_exceeded
0,361,0,07-01,+200.0%,+82.84%,0.9142,1,✗ No,budget_exceeded
0,361,90,07-01,+200.0%,+82.84%,0.9142,1,✗ No,budget_exceeded
0,361,181,07-01,+200.0%,+82.84%,0.9142,1,✗ No,budget_exceeded
0,361,271,07-01,+200.0%,+82.84%,0.9142,1,✗ No,budget_exceeded
0,361,361,07-01,+200.0%,+80.11%,0.9005,126,✗ No,budget_exceeded
0,449,0,07-01,+200.0%,+82.84%,0.9142,1,✗ No,budget_exceeded
0,449,90,07-01,+200.0%,+82.84%,0.9142,1,✗ No,budget_exceeded
0,449,180,07-01,+200.0%,+82.84%,0.9142,1,✗ No,budget_exceeded
0,449,269,07-01,+200.0%,+82.84%,0.9142,1,✗ No,budget_exceeded
0,449,359,07-01,+200.0%,+77.75%,0.8887,105,✗ No,budget_exceeded
0,449,449,07-01,+200.0%,+27.82%,0.6391,1175,✗ No,budget_exceeded
0,537,0,07-01,+200.0%,+82.76%,0.9138,1,✗ No,budget_exceeded
0,537,89,07-01,+200.0%,+82.76%,0.9138,1,✗ No,budget_exceeded
0,537,179,07-01,+200.0%,+82.76%,0.9138,1,✗ No,budget_exceeded
0,537,268,07-01,+200.0%,+82.76%,0.9138,1,✗ No,budget_exceeded
0,537,358,07-01,+200.0%,+62.15%,0.8108,75,✗ No,budget_exceeded
0,537,447,07-01,+80.0%,-0.64%,0.4968,531,✓ Yes,completed
0,537,537,07-01,+35.7%,+0.39%,0.5020,738,✓ Yes,completed
0,624,0,07-01,+200.0%,+40.83%,0.7042,1,✗ No,budget_exceeded
0,624,89,07-01,+200.0%,+40.83%,0.7042,1,✗ No,budget_exceeded
0,624,178,07-01,+200.0%,+40.83%,0.7042,1,✗ No,budget_exceeded
0,624,268,07-01,+200.0%,+40.83%,0.7042,1,✗ No,budget_exceeded
0,624,357,07-01,+14.9%,-0.16%,0.4992,1,✓ Yes,completed
0,624,446,07-01,+2.8%,+0.06%,0.5003,8,✓ Yes,completed
0,624,535,07-01,+0.8%,+0.10%,0.5005,10,✓ Yes,completed
0,624,624,07-01,+0.2%,+0.04%,0.5002,11,✓ Yes,completed
0,712,0,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,712,89,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,712,178,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,712,267,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,712,356,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,712,445,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,712,534,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,712,623,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,712,712,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,0,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,89,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,178,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,267,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,356,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,444,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,533,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,622,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,711,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,800,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
1,359,359,07-01,+200.0%,+80.55%,0.9028,112,✗ No,budget_exceeded
1,359,359,07-01,+200.0%,+80.55%,0.9028,112,✗ No,budget_exceeded
1,398,359,07-01,+200.0%,+79.03%,0.8952,102,✗ No,budget_exceeded
1,398,398,07-01,+200.0%,+71.06%,0.8553,404,✗ No,budget_exceeded
1,438,359,07-01,+200.0%,+78.19%,0.8909,102,✗ No,budget_exceeded
1,438,438,07-01,+200.0%,+39.10%,0.6955,1041,✗ No,budget_exceeded
1,477,359,07-01,+200.0%,+76.78%,0.8839,100,✗ No,budget_exceeded
1,477,418,07-01,+200.0%,+38.59%,0.6929,758,✗ No,budget_exceeded
1,477,477,07-01,+175.7%,-3.44%,0.4828,1545,✓ Yes,completed
1,517,359,07-01,+200.0%,+69.28%,0.8464,88,✗ No,budget_exceeded
1,517,412,07-01,+200.0%,+14.43%,0.5721,642,✗ No,budget_exceeded
1,517,464,07-01,+131.5%,-1.93%,0.4903,928,✓ Yes,completed
1,517,517,07-01,+65.2%,+0.82%,0.5041,1118,✓ Yes,completed
1,556,359,07-01,+200.0%,+23.15%,0.6157,69,✗ No,budget_exceeded
1,556,398,07-01,+98.5%,-4.15%,0.4792,160,✓ Yes,completed
1,556,438,07-01,+55.3%,-0.71%,0.4965,279,✓ Yes,completed
1,556,477,07-01,+36.2%,+0.04%,0.5002,312,✓ Yes,completed
1,556,517,07-01,+26.6%,+0.72%,0.5036,288,✓ Yes,completed
1,556,556,07-01,+12.6%,+0.95%,0.5048,364,✓ Yes,completed
1,596,359,07-01,+82.4%,-4.15%,0.4793,19,✓ Yes,completed
1,596,398,07-01,+39.0%,-2.02%,0.4899,40,✓ Yes,completed
1,596,438,07-01,+11.6%,+0.21%,0.5010,47,✓ Yes,completed
1,596,477,07-01,+5.8%,+0.46%,0.5023,60,✓ Yes,completed
1,596,517,07-01,+5.1%,+0.49%,0.5024,61,✓ Yes,completed
1,596,556,07-01,+4.1%,+0.41%,0.5020,62,✓ Yes,completed
1,596,596,07-01,+2.0%,+0.22%,0.5011,88,✓ Yes,completed
1,635,359,07-01,+14.9%,-0.16%,0.4992,1,✓ Yes,completed
1,635,398,07-01,+5.6%,-0.09%,0.4996,3,✓ Yes,completed
1,635,438,07-01,+1.4%,+0.04%,0.5002,3,✓ Yes,completed
1,635,477,07-01,+0.6%,+0.06%,0.5003,4,✓ Yes,completed
1,635,517,07-01,+0.3%,+0.05%,0.5002,4,✓ Yes,completed
1,635,556,07-01,+0.3%,+0.05%,0.5002,4,✓ Yes,completed
1,635,596,07-01,+0.2%,+0.03%,0.5001,4,✓ Yes,completed
1,635,635,07-01,+0.1%,+0.02%,0.5001,4,✓ Yes,completed
1,675,359,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
1,675,398,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
1,675,438,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
1,675,477,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
1,675,517,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
1,675,556,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
1,675,596,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
1,675,635,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
1,675,675,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
1,714,359,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
1,714,398,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
1,714,438,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
1,714,477,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
1,714,517,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
1,714,556,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
1,714,596,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
1,714,635,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
1,714,675,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
1,714,714,07-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
2,476,476,07-01,+182.3%,-3.91%,0.4805,1567,✓ Yes,completed
2,476,476,07-01,+182.3%,-3.91%,0.4805,1567,✓ Yes,completed
2,494,476,07-01,+152.6%,-2.30%,0.4885,1173,✓ Yes,completed
2,494,494,07-01,+125.0%,-1.41%,0.4929,1426,✓ Yes,completed
2,512,476,07-01,+126.2%,-1.59%,0.4921,966,✓ Yes,completed
2,512,512,07-01,+77.5%,+0.46%,0.5023,1204,✓ Yes,completed
2,530,476,07-01,+81.0%,+0.06%,0.5003,658,✓ Yes,completed
2,530,503,07-01,+62.2%,+0.90%,0.5045,637,✓ Yes,completed
2,530,530,07-01,+46.5%,+0.56%,0.5028,917,✓ Yes,completed
2,548,476,07-01,+47.7%,+0.21%,0.5011,407,✓ Yes,completed
2,548,500,07-01,+41.4%,+0.33%,0.5017,391,✓ Yes,completed
2,548,524,07-01,+31.3%,+0.66%,0.5033,376,✓ Yes,completed
2,548,548,07-01,+19.5%,+0.98%,0.5049,518,✓ Yes,completed
2,565,476,07-01,+22.1%,+0.59%,0.5030,204,✓ Yes,completed
2,565,494,07-01,+19.6%,+0.80%,0.5040,197,✓ Yes,completed
2,565,512,07-01,+17.8%,+0.92%,0.5046,191,✓ Yes,completed
2,565,530,07-01,+14.4%,+1.06%,0.5053,184,✓ Yes,completed
2,565,548,07-01,+11.7%,+0.92%,0.5046,203,✓ Yes,completed
2,565,565,07-01,+8.8%,+0.74%,0.5037,260,✓ Yes,completed
2,583,476,07-01,+9.3%,+0.57%,0.5028,89,✓ Yes,completed
2,583,494,07-01,+8.6%,+0.64%,0.5032,91,✓ Yes,completed
2,583,512,07-01,+8.1%,+0.69%,0.5034,90,✓ Yes,completed
2,583,530,07-01,+7.6%,+0.71%,0.5035,90,✓ Yes,completed
2,583,548,07-01,+6.8%,+0.68%,0.5034,91,✓ Yes,completed
2,583,565,07-01,+5.4%,+0.60%,0.5030,98,✓ Yes,completed
2,583,583,07-01,+4.0%,+0.41%,0.5020,139,✓ Yes,completed
