Iter,θ_p,θ_r,Start,Overhead %,CO₂ Save %,Score,Pauses,Budget,Stop
0,10,0,01-01,+200.0%,+83.28%,0.9164,1,✗ No,budget_exceeded
0,10,10,01-01,+200.0%,+83.28%,0.9164,1,✗ No,budget_exceeded
0,98,0,01-01,+200.0%,+83.28%,0.9164,1,✗ No,budget_exceeded
0,98,98,01-01,+200.0%,+83.28%,0.9164,1,✗ No,budget_exceeded
0,186,0,01-01,+200.0%,+83.28%,0.9164,1,✗ No,budget_exceeded
0,186,186,01-01,+200.0%,+78.58%,0.8929,23,✗ No,budget_exceeded
0,273,0,01-01,+200.0%,+82.23%,0.9112,1,✗ No,budget_exceeded
0,273,137,01-01,+200.0%,+80.88%,0.9044,3,✗ No,budget_exceeded
0,273,273,01-01,+200.0%,+45.52%,0.7276,93,✗ No,budget_exceeded
0,361,0,01-01,+200.0%,+82.13%,0.9106,1,✗ No,budget_exceeded
0,361,90,01-01,+200.0%,+82.13%,0.9106,1,✗ No,budget_exceeded
0,361,181,01-01,+200.0%,+63.45%,0.8173,20,✗ No,budget_exceeded
0,361,271,01-01,+175.7%,+29.68%,0.6484,63,✓ Yes,completed
0,361,361,01-01,+155.5%,+26.39%,0.6320,91,✓ Yes,completed
0,449,0,01-01,+200.0%,+79.27%,0.8963,1,✗ No,budget_exceeded
0,449,90,01-01,+200.0%,+79.27%,0.8963,1,✗ No,budget_exceeded
0,449,180,01-01,+188.3%,+24.58%,0.6229,15,✓ Yes,completed
0,449,269,01-01,+137.5%,+20.08%,0.6004,40,✓ Yes,completed
0,449,359,01-01,+115.1%,+17.59%,0.5880,46,✓ Yes,completed
0,449,449,01-01,+85.3%,+14.20%,0.5710,83,✓ Yes,completed
0,537,0,01-01,+200.0%,+78.94%,0.8947,1,✗ No,budget_exceeded
0,537,89,01-01,+200.0%,+78.94%,0.8947,1,✗ No,budget_exceeded
0,537,179,01-01,+158.5%,+13.68%,0.5684,7,✓ Yes,completed
0,537,268,01-01,+93.0%,+11.84%,0.5592,16,✓ Yes,completed
0,537,358,01-01,+72.9%,+9.57%,0.5478,19,✓ Yes,completed
0,537,447,01-01,+44.8%,+5.15%,0.5258,24,✓ Yes,completed
0,537,537,01-01,+20.0%,+3.68%,0.5184,36,✓ Yes,completed
0,624,0,01-01,+200.0%,+28.28%,0.6414,1,✗ No,budget_exceeded
0,624,89,01-01,+200.0%,+28.28%,0.6414,1,✗ No,budget_exceeded
0,624,178,01-01,+99.1%,+2.36%,0.5118,2,✓ Yes,completed
0,624,268,01-01,+36.9%,-0.80%,0.4960,2,✓ Yes,completed
0,624,357,01-01,+9.8%,-0.43%,0.4978,1,✓ Yes,completed
0,624,446,01-01,+1.7%,+0.84%,0.5042,2,✓ Yes,completed
0,624,535,01-01,+1.3%,+0.84%,0.5042,2,✓ Yes,completed
0,624,624,01-01,+0.6%,+0.43%,0.5021,5,✓ Yes,completed
0,712,0,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,712,89,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,712,178,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,712,267,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,712,356,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,712,445,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,712,534,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,712,623,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,712,712,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,0,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,89,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,178,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,267,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,356,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,444,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,533,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,622,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,711,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
0,800,800,01-01,+0.0%,+0.00%,0.5000,0,✓ Yes,completed
1,183,93,01-01,+200.0%,+83.28%,0.9164,1,✗ No,budget_exceeded
1,183,138,01-01,+200.0%,+82.52%,0.9126,5,✗ No,budget_exceeded
1,183,183,01-01,+200.0%,+78.83%,0.8941,22,✗ No,budget_exceeded
1,223,93,01-01,+200.0%,+82.32%,0.9116,1,✗ No,budget_exceeded
1,223,136,01-01,+200.0%,+81.37%,0.9068,4,✗ No,budget_exceeded
1,223,180,01-01,+200.0%,+76.93%,0.8847,16,✗ No,budget_exceeded
1,223,223,01-01,+200.0%,+67.48%,0.8374,63,✗ No,budget_exceeded
1,262,93,01-01,+200.0%,+82.24%,0.9112,1,✗ No,budget_exceeded
1,262,135,01-01,+200.0%,+80.92%,0.9046,3,✗ No,budget_exceeded
1,262,178,01-01,+200.0%,+74.12%,0.8706,18,✗ No,budget_exceeded
1,262,220,01-01,+200.0%,+62.54%,0.8127,54,✗ No,budget_exceeded
1,262,262,01-01,+200.0%,+53.12%,0.7656,91,✗ No,budget_exceeded
1,302,93,01-01,+200.0%,+82.20%,0.9110,1,✗ No,budget_exceeded
1,302,135,01-01,+200.0%,+80.86%,0.9043,3,✗ No,budget_exceeded
1,302,177,01-01,+200.0%,+71.91%,0.8596,18,✗ No,budget_exceeded
1,302,218,01-01,+200.0%,+57.53%,0.7876,54,✗ No,budget_exceeded
1,302,260,01-01,+200.0%,+42.70%,0.7135,80,✗ No,budget_exceeded
1,302,302,01-01,+190.7%,+32.75%,0.6638,104,✓ Yes,completed
1,341,93,01-01,+200.0%,+82.14%,0.9107,1,✗ No,budget_exceeded
1,341,134,01-01,+200.0%,+79.78%,0.8989,3,✗ No,budget_exceeded
1,341,176,01-01,+200.0%,+67.63%,0.8381,19,✗ No,budget_exceeded
1,341,217,01-01,+200.0%,+39.12%,0.6956,57,✗ No,budget_exceeded
1,341,259,01-01,+189.5%,+31.77%,0.6588,71,✓ Yes,completed
1,341,300,01-01,+176.3%,+30.41%,0.6520,79,✓ Yes,completed
1,341,341,01-01,+166.8%,+28.48%,0.6424,92,✓ Yes,completed
1,381,93,01-01,+200.0%,+82.06%,0.9103,1,✗ No,budget_exceeded
1,381,134,01-01,+200.0%,+79.65%,0.8982,3,✗ No,budget_exceeded
1,381,175,01-01,+200.0%,+63.13%,0.8156,19,✗ No,budget_exceeded
1,381,216,01-01,+188.8%,+29.58%,0.6479,47,✓ Yes,completed
1,381,258,01-01,+176.9%,+29.19%,0.6460,60,✓ Yes,completed
1,381,299,01-01,+166.4%,+27.73%,0.6387,70,✓ Yes,completed
1,381,340,01-01,+157.5%,+26.40%,0.6320,76,✓ Yes,completed
1,381,381,01-01,+142.9%,+24.15%,0.6208,98,✓ Yes,completed
1,420,93,01-01,+200.0%,+79.33%,0.8966,1,✗ No,budget_exceeded
1,420,134,01-01,+200.0%,+78.08%,0.8904,2,✗ No,budget_exceeded
1,420,175,01-01,+195.3%,+27.12%,0.6356,19,✓ Yes,completed
1,420,216,01-01,+168.4%,+24.36%,0.6218,38,✓ Yes,completed
1,420,257,01-01,+157.5%,+24.08%,0.6204,50,✓ Yes,completed
1,420,298,01-01,+149.4%,+23.67%,0.6183,53,✓ Yes,completed
1,420,339,01-01,+138.4%,+21.81%,0.6090,58,✓ Yes,completed
1,420,379,01-01,+126.9%,+20.39%,0.6019,61,✓ Yes,completed
1,420,420,01-01,+109.8%,+17.01%,0.5851,97,✓ Yes,completed
1,460,93,01-01,+200.0%,+79.23%,0.8961,1,✗ No,budget_exceeded
1,460,134,01-01,+200.0%,+77.62%,0.8881,2,✗ No,budget_exceeded
1,460,175,01-01,+187.8%,+23.96%,0.6198,15,✓ Yes,completed
1,460,215,01-01,+154.9%,+20.84%,0.6042,27,✓ Yes,completed
